,순위,책이름,저자,줄거리
0,1,라이온의 간식,오가와 이토,"서점대상 2위! 출간 직후 일본 독자들을 전율케 한 감동소설당신에게도 있나요? 돌아가고 싶은 인생의 한순간2020년 서점대상 2위, 2021년 NHK 드라마 제작, 누적 22만 부 발행 등의 기록을 세운 일본 출판계의 화제작 《라이온의 간식》이 출간되었다. 《츠바키 문구점》, 《달팽이 식당》 등 어떤 상황에서도 삶을 긍정하며 한 발 앞으로 나아가게 만드는 이야기로 독자들의 마음을 위로해 온 오가와 이토 특유의 미려한 문체와 감각적인 자연 묘사, 따뜻하고 감동적인 내용으로 많은 독자와 평단의 호평을 받은 작품이다. 바쁜 일상에 치여 나 자신을 잃어버린 것만 같은 날, 그렇기에 더 힘껏 내 마음을 안아줘야 하는 날, 밑줄 그으며 읽고 싶은 문장들이 가득하다. 《라이온의 간식》은 서른셋 나이에 말기 암 판정을 받.."
1,2,모든 빗방울의 이름을 알았다,"호르헤 루이스 보르헤스, 레이먼드 카버",‘문학 실험실’ 파리 리뷰가 주목하고장르의 대가들이 고르고 또 골랐다“나는 모든 빗방울의 이름을 알았다.일어나기도 전에 모든 일을 감지했다.차에 탄 가족의 다정한 목소리만 듣고도우리가 폭풍우 속에서 사고를 당할 것을 알았다.”- 〈히치하이킹 도중 자동차 사고〉 중에서단 몇 페이지의 단편소설이 주는 여운은 때로 장편소설보다 진하다. ‘작가들의 꿈의 무대’로 통하는 미국의 문학 계간지 〈파리 리뷰〉는 가장 뛰어난 문학적 성취를 이룬 단편소설을 결산하기 위해 세계적인 명성의 작가들에게 특별한 질문을 했다. 〈파리 리뷰〉가 지난 반세기 동안 발표한 단편소설 중에서 가장 좋아하는 작품 하나를 고르고 왜 그 소설을 탁월하다고 생각하는지 설명해달라고 부탁했다. 《모든 빗방울의 이름을 알았다》는 그중 열다섯 명의 작가들이..
2,3,크리스마스 피그,J.K. 롤링,"장난감을 사랑하는 어린이는 물론, 장난감을 사랑했던 아련한 추억이 있는성인에게 최고의 크리스마스 선물이 되어줄 책!누군가를 순수하게 사랑해 본 경험이 있는 우리 모두를 위한가슴 따뜻한 모험이 펼쳐진다2019년부터 시작한 코로나 바이러스는 전 세계에 크나큰 영향을 끼쳤다. 평범한 일상은 꿈같은 일이 되었고, 경제적 타격으로 수많은 사람들이 슬픔에 빠졌다. J.K. 롤링은 이렇듯 시련을 겪고 있는 사람들의 마음에 조금이나마 위로를 줄 수 있는 방법을 고심했다. 코로나 바이러스가 전 세계에 본격적으로 유행하기 시작한 2020년, J.K. 롤링은 어린이들과 보호자들을 위해 《이카보그》를 인터넷에 무료로 연재한 뒤 어린이들의 그림을 담아 단행본으로 출간했다. 그리고 2021년 올해, 코로나 바이러스를 겪고 있는 어린.."
3,4,파리 마카롱 수수께끼,요네자와 호노부,"“내게는 어느 무엇보다마카롱이 흥미진진해!”‘소시민’ 시리즈, 스핀오프 4년 만에 출간!오사나이에게 이끌려 새로 연 디저트 가게로 향한 고바토. 오사나이가 노리는 가을철 한정 신작 마카롱은 세트 메뉴로 세 개가 한 세트. 그런데 오사나이의 접시에는 마카롱이 네 개. 영문을 알 수 없는 네 번째 마카롱의 정체는? 일상의 평온을 위해 소시민을 지향하는 오사나이와 고바토는 과연 소시민의 삶을 사수할 수 있을까?학교를 배경으로 일상의 사건들을 다룬 ‘고전부’ 시리즈와 함께 요네자와 호노부의 대표 시리즈로 꼽히는 학원 청춘 미스터리 ‘소시민’ 시리즈. 그 스핀오프 작품 『파리 마카롱 수수께끼』가 한국에서 4년 만에 출간되었다. 두 주인공의 1학년 가을~.."
4,5,케이크와 맥주,윌리엄 서머셋 모옴,"달필의 감각으로 개인의 행복과 유희, 쾌락을 탐구한 서머싯 몸 실존 인물, 문단의 내막 적나라하게 묘사해 세간에 파장을 일으킨 풍자 소설 성공과 창작의 곡예에서 균형을 이루며 살아가는 방법은 무엇일까▶ 공포감이 점점 커져 갔다. 그것은 누가 봐도 나의 초상화였다. ─ 휴 월폴▶ 몸이 그려 낸 출세 지향적 문인의 초상은 고문에 가까운 부분이다. 그는 벼락출세한 얼굴 두꺼운 위선적 대중 작가로 그려진다. ─ 버지니아 울프▶ 만약 자네가 이 작품에서 자네 모습을 보았다면, 우리가 대동소이할 뿐 같은 인간이기 때문일세. ─ 서머싯 몸"
5,6,만년,다자이 오사무,"“나는 오직 이 책 한 권을 쓰기 위해 태어났다.”『사양』, 『인간 실격』의 작가 다자이 오사무의 출현을 예고한 첫 창작집흔들리는 존재를 끌어안는 영원한 청춘 문학다자이 오사무의 첫 창작집 『만년』이 민음사 세계문학전집 382번으로 출간되었다. 1997년 소화출판사에서 같은 역자가 문고본으로 출간했던 것을 이십사 년 만에 완역했고 기존 번역도 전면적으로 손보았다. 유숙자 역자는 “거의 산문시에 가까운 문장들이 작품 곳곳에 섞여 있고, 한 편의 시나 다름없는 작품도 있”어 오늘날의 감각에 맞게 문장의 길이, 단어의 품사, 어투까지 세심하게 다듬으며 작가 특유의 리듬감을 살리기 위해 노력했다고 밝혔다. 『만년』에는 죽음을 각오한 이십 대 초반의 작가가 유작을 염두에 두고 집필한 열다섯 편의 단편이 실렸다. 외로.."
6,7,"오늘 밤, 세계에서 이 사랑이 사라진다 해도",이치조 미사키,"※ 인터넷 한정 특별판: 매장 구매, 바로드림 구매 시에는 기존 일반판 표지와 랜덤으로 제공됩니다.제26회 전격소설대상 ‘미디어워크스문고상’ 수상작총 4,607편의 응모 작품 중 최고로 손꼽힌 걸작,모든 심사위원이 눈물을 쏟은 압도적 작품!“머리가 아플 정도로 펑펑 울고 말았다.반드시, 반드시 읽어야 할 작품이다.” _아마존 독자평밤에 자고 일어나면 기억이 리셋되는 ‘선행성 기억상실증’을 앓는 소녀 히노 마오리와 무미건조한 인생을 살고 있는 평범한 고등학생 가미야 도루의 풋풋하고 애틋한 사랑 이야기.선행성 기억상실증이라는 익숙한 소재를 매우 수준 높은 청춘 소설로 탄생시켰다는 극찬을 받으며 제26회 전격소설대상 ‘미디어워크스문고상’을 수상한 이 작품은 간질간질한 청춘의 로맨스를 전혀 예측할 수 없는 국면으로.."
7,8,문명 1,베르나르 베르베르,"인류 문명의 끝에서 새로운 이야기가 시작된다!프랑스 25만 부 판매 베스트셀러베르나르 베르베르 신작 장편소설전염병과 테러, 전쟁으로 한계에 다다른 인류 문명그 자리를 대신할 새로운 문명은 어디에 -베스트셀러 작가 베르나르 베르베르의 신작 장편소설 『문명』(전2권)이 프랑스문학 전문 번역가 전미연의 번역으로 열린책들에서 출간되었다. 소설의 배경은 전염병으로 수십억 명이 사망하고, 테러와 전쟁으로 황폐해진 세계. 이 소설이 프랑스에서 처음 출간된 2019년에만 해도 흔히 사용되는 디스토피아적 배경에 불과했겠지만 코로나 시대를 살아가는 지금 우리에게는 더욱더 생생하게 느껴지는 설정이다.『문명』은 인류 문명이 벼랑 끝에 다다른 세상을 무대로 『고양이』의 주인공이었던 고양이 바스테트가 모험을 펼치는 소설이다. 고양이.."
8,9,문명 2,베르나르 베르베르,"인류 문명의 끝에서 새로운 이야기가 시작된다!프랑스 25만 부 판매 베스트셀러베르나르 베르베르 신작 장편소설전염병과 테러, 전쟁으로 한계에 다다른 인류 문명그 자리를 대신할 새로운 문명은 어디에 -베스트셀러 작가 베르나르 베르베르의 신작 장편소설 『문명』(전2권)이 프랑스문학 전문 번역가 전미연의 번역으로 열린책들에서 출간되었다. 소설의 배경은 전염병으로 수십억 명이 사망하고, 테러와 전쟁으로 황폐해진 세계. 이 소설이 프랑스에서 처음 출간된 2019년에만 해도 흔히 사용되는 디스토피아적 배경에 불과했겠지만 코로나 시대를 살아가는 지금 우리에게는 더욱더 생생하게 느껴지는 설정이다.『문명』은 인류 문명이 벼랑 끝에 다다른 세상을 무대로 『고양이』의 주인공이었던 고양이 바스테트가 모험을 펼치는 소설이다. 고양이.."
9,10,프로젝트 헤일메리,앤디 위어,"“이름도 기억 못하는 내가 인류의 희망이라니?”멸망 위기의 지구 구하기 프로젝트!‘헤일메리HAIL MARY’는 미식축구 용어로, 경기 막판에 역전을 노리고 하는 패스에서 유래한 말이다. 작품 속 우주선의 이름인 ‘헤일메리호’도 지구를 종말로부터 구하기 위한 마지막 역전을 바라는 마음에 지어졌다. 주인공이 긴 수면 끝에 눈을 뜬 곳은 우주 한복판이었다. 하지만 그는 자신의 이름조차 기억하지 못한다. 설상가상으로 함께 우주선 헤일메리호에 탄 동료들은 모두 죽고 혼자가 된 상황이다. 헤일메리호를 샅샅이 뒤진 끝에, 그는 한 가지 사실을 깨닫는다. 그는 인류를 구할 마지막 희망이자, 우주 한복판에서 죽을 예정인 과학자였다는 것을. 소설 속 지구는 태양의 온도를 떨어트리는 미지의 생명체 ‘아스트로파지’ 로 인해 멸망.."
