,title,desc
0,학교 가는 길,니스 소녀 박 타이 집 앞 책 소년 자신 학교 이야기 결심 학교 연필 공책 필요 하다 소년 말 달걀 돈 마련 돈 공책 밖 박 타이 연필 대신 엄마 립스틱 학교 차 학교 박 타이 앞 전쟁 놀이 소년 탈 레 반과 미군 공격 흉내 소녀 위협 공격 시작 박 타이 위험 게임 학교 도착 영화 소개글 마 말 바 가의 막내 딸 장편 극영화 레 반 석굴 붕괴 미안 아이 증오 아이 탈 레 반 병사 미군 학교 여섯 소녀 박 타이 위협
1,사랑할 때 버려야 할 아까운 것들,여자 심플 만족감 느낌 세월 일 남자 마찬가지 여자 전문가 소 이유 동안 영계 부유 독신 남 해리 본 은 대의 들 자유 삶 플레이 보이 미모 경매 사인 마린 과 주말 마린 엄마 해변 별장 해리 섹스 결정적 순간 심장 발작 병원 응급실 신세 나이 무리 탓 동생 조 주말 별장 에리카 해리 건강 때 처지 저명 희곡 작가 강인 독립적 성격 이혼녀 에리카 나이 딸 남성 우월 나이 남자 해리 경멸 단둘 며칠 연배 사람 친구 묘 감정 한편 해리 주치의 인 미남 의사 줄 리 안 은 평소 흠모 희곡 작가 에리카 나이 차이 매료 줄 리 안 저돌적 구애 당황 에리카 해리 줄 리 안 질투심 자신 발견 에리카 자신 평소 안보 여자 게다 섹스 딸 당혹 해리 에리카 해리 마음 부인 자신 엄마 남자 친구 사이 기류 마린 해리 선언 해리 제안 별장 둘 남 해리 에리카 누 서로 둘 오랜만 몸 마음 충족 섹스 오랫동안 자유 독신 생활 해리 자신 기대 선언 에리카 해리 자신 기대치 나이 실연 상처
2,달라스 바이어스 클럽,방탕 생활 로데오 전기 기술자 날 의사 에이즈 진단 시간 일 죽음 준비 은 치료제 복용 약물 효과 사실 후 자국 금지 약물 나라 밀수 시작 에이즈 감염자 과 을 회원제 자신 병 환자 수한 치료 약물 판매 시작
3,플로리다 프로젝트,안심 안전 플로리 디즈니 월드 건너편 꼬마 친구 디즈니 월드 무지개 어드벤처
4,밀정,일제 강점기 조선인 출신 일본 경찰 이정 은 무장 독립운동 단체 의열단 뒤 특명 의열단 리더 김우진 접근 시대 양 극단 사람 서로 정체 의도 속내 출처 정보 쌍방 새 누 밀정 가운데 의열단 일제 주요 시설 파괴 폭탄 경성 일본 경찰 모두 상해 자 자 사이 자신 목표 서로 이용 암투 회유 교란 작전 긴장감 속 폭탄 열차 국경 경성
5,마담 프루스트의 비밀정원,부모 폴 말 이모 이모 폴 세계적 피아니스트 폴 댄스 교습소 피아노 연주 전부 날 이웃 마담 집 방문 폴 차 마들렌 과거 상처 추억
6,괴물,햇살 평화 한강 둔치 아버지 가 운영 한강 매점 낮잠 강두 잠결 라 소리 올해 중학생 딸 현 화 창피 핸드폰 학부모 참관 수업 술 냄새 삼촌 강두 고민 끝 비밀리 동전 컵 라면 그릇 현 시작 고모 의 전국 체전 양궁 경기 몰두 괴물 한강 둔치 오징어 배달 강두 사람 속 특이 광경 목격 생전 보도 무언가 한강 다리 사람 신기 핸드폰 디카 정신 정체 괴물 둔치 위 사람 무차별 시작 순식간 아수라장 돌변 한 강변 강두 현 서 정신 비명 사람 속 현 서의 손 순간 괴물 현 서 채 한강 현 서 괴물 출현 한강 폐쇄 도시 전체 마비 하루아침 집 생계 현 서 강두 가족 돈 빽 위험 구역 선포 한강 현 서
7,국가부도의 날,대한민국 최고 경제 호황 의심 그때 경제 위기 예견 한국 은행 통화 정책 팀장 은 사실 정부 국가 부도 사태 비공개 대책 팀 한편 곳곳 감지 위기 시그널 포착 사표 금융 맨 은 국가 부도 위기 투자 역 베팅 결심 투자자 시작 상황 공장 사장 대형 백화점 어음 거래 계약서 도장 행복 국가 부도 남 시간 단 일주일 대책 팀 내부 위기 대응 방식 시현 대립 가운데 시현 반대 총재 가 협상 비밀리 입국 위기 사람 위기 베팅 사람 회사 가족 사람 선택 사람 이야기 시작
8,시민 노무현,고향 퇴임 후 귀향 선택 대한민국 대통령 노무현 봉 하 마을 봉 하 마을 대통령 임기 만큼 삶 시민 노무현 곳 무엇 마라 미안 마라 운명 일 후 시민 노무현 이야기 공개
9,젠틀맨,유럽 장악 업계 절대 강자 은 자신 마리화나 제국 돈 무엇 미국 장자 빅딜 소문 무법자 돈 냄새 사립 탐정 게임 오랫동안 정글 질서 시작
