,filename,userid,title,rating,content
0,4WLxZmblW5roA:contents:books:ratings.xlsx,4WLxZmblW5roA,"0                  한 게으른 시인의 이야기
1                     야간 경비원의 일기
2                          노멀 피플
3                          살림 비용
4                      잘돼가? 무엇이든
5                        안녕 주정뱅이
6                       어린이라는 세계
7                          최선의 삶
8                 땡스 갓, 잇츠 프라이데이
9                             레몬
10                       아무튼, 예능
11                   지극히 문학적인 취향
12              맥스 테그마크의 라이프 3.0
13                         채식주의자
14                       이기적 유전자
15                         아메리카나
16                         사신 치바
17                      호밀밭의 파수꾼
18                        기억 전달자
19                            화차
20                           종이달
21                   여성 혐오를 혐오한다
22                          도플갱어
23         우리는 모두 페미니스트가 되어야 합니다
24          안녕하세요, 하느님? 저 마거릿이에요
25                   해리 포터와 불의 잔
26               해리 포터와 아즈카반의 죄수
27                  해리 포터와 비밀의 방
28                 해리 포터와 마법사의 돌
29                            속죄
30                          무진기행
31          어른이 되어 더 큰 혼란이 시작되었다
32    기술복제시대의 예술작품 / 사진의 작은 역사 외
33                        모래 사나이
34           안드로이드는 전기양의 꿈을 꾸는가?
Name: LABEL-2, dtype: object","0     평가함 ★ 4.0
1     평가함 ★ 4.0
2     평가함 ★ 3.5
3     평가함 ★ 4.5
4     평가함 ★ 3.5
5     평가함 ★ 4.5
6     평가함 ★ 4.5
7     평가함 ★ 4.0
8     평가함 ★ 3.0
9     평가함 ★ 3.5
10    평가함 ★ 4.0
11    평가함 ★ 5.0
12    평가함 ★ 4.0
13    평가함 ★ 4.5
14    평가함 ★ 4.5
15    평가함 ★ 5.0
16    평가함 ★ 3.5
17    평가함 ★ 3.5
18    평가함 ★ 4.5
19    평가함 ★ 4.0
20    평가함 ★ 4.0
21    평가함 ★ 4.0
22    평가함 ★ 3.5
23    평가함 ★ 3.5
24    평가함 ★ 4.5
25    평가함 ★ 5.0
26    평가함 ★ 4.0
27    평가함 ★ 4.5
28    평가함 ★ 4.5
29    평가함 ★ 4.5
30    평가함 ★ 4.0
31    평가함 ★ 3.0
32    평가함 ★ 4.5
33    평가함 ★ 3.5
34    평가함 ★ 4.0
Name: LABEL-3, dtype: object",books
1,박지수:contents:books:ratings.xlsx,박지수,"0                         인체 구조 교과서
1                              더 해빙
2                             인생 수업
3                          아무튼, 떡볶이
4                         궤도의 과학 허세
                   ...             
166                            사피엔스
167                        호밀밭의 파수꾼
168    지적 대화를 위한 넓고 얕은 지식 : 현실 너머 편
169                       아프니까 청춘이다
170            사랑하라 한번도 상처받지 않은 것처럼
Name: LABEL-2, Length: 171, dtype: object","0      평가함 ★ 3.0
1      평가함 ★ 3.5
2      평가함 ★ 4.5
3      평가함 ★ 4.5
4      평가함 ★ 3.5
         ...    
166    평가함 ★ 5.0
167    평가함 ★ 3.5
168    평가함 ★ 3.0
169    평가함 ★ 2.0
170    평가함 ★ 4.0
Name: LABEL-3, Length: 171, dtype: object",books
2,2mwvgLpo25Ma7:contents:books:ratings.xlsx,2mwvgLpo25Ma7,"0               인간실격
1      물고기는 존재하지 않는다
2          어둠에서 벗어나기
3            위험한 과학책
4           헛간, 불태우다
           ...      
767             하악하악
768           오체 불만족
769           드래곤 라자
770         소용돌이 합본판
771         마시멜로 이야기
Name: LABEL-2, Length: 772, dtype: object","0      평가함 ★ 4.5
1      평가함 ★ 3.5
2      평가함 ★ 4.0
3      평가함 ★ 3.5
4      평가함 ★ 4.0
         ...    
767    평가함 ★ 3.0
768    평가함 ★ 3.0
769    평가함 ★ 3.5
770    평가함 ★ 4.0
771    평가함 ★ 2.5
Name: LABEL-3, Length: 772, dtype: object",books
3,진:contents:books:ratings.xlsx,진,"0              하늘과 바람과 별과 시
1                   댈러웨이 부인
2     2020 제11회 젊은작가상 수상작품집
3                  양을 쫓는 모험
4                 일의 기쁨과 슬픔
5              빛과 물질에 관한 이론
6                 죽음의 수용소에서
7          카타리나 블룸의 잃어버린 명예
8                        모순
9         이반 데니소비치, 수용소의 하루
10                   가면의 고백
11               나목.도둑맞은 가난
12                   사랑의 기술
13                GV 빌런 고태경
14                   백년의 고독
15                      스토너
16           우연의 질병, 필연의 죽음
17                방금 떠나온 세계
18                       마음
19                 두 도시 이야기
20                   침이 고인다
21                      픽션들
22                 작별하지 않는다
23                 이상 소설 전집
24              바람의 노래를 들어라
25             콜 미 바이 유어 네임
26                   일인칭 단수
27                 지구 끝의 온실
28             도시는 무엇으로 사는가
29            21세기 먼나라 이웃나라
30                  자기 앞의 생
31            조제와 호랑이와 물고기들
32                   벌레 이야기
33                  시선으로부터,
34        창문 넘어 도망친 100세 노인
35                   웨하스 의자
Name: LABEL-2, dtype: object","0     평가함 ★ 4.0
1     평가함 ★ 4.0
2     평가함 ★ 4.0
3     평가함 ★ 4.0
4     평가함 ★ 4.0
5     평가함 ★ 4.5
6     평가함 ★ 4.5
7     평가함 ★ 3.5
8     평가함 ★ 5.0
9     평가함 ★ 4.5
10    평가함 ★ 4.0
11    평가함 ★ 4.0
12    평가함 ★ 4.0
13    평가함 ★ 4.5
14    평가함 ★ 4.5
15    평가함 ★ 4.5
16    평가함 ★ 4.5
17    평가함 ★ 4.5
18    평가함 ★ 4.0
19    평가함 ★ 4.5
20    평가함 ★ 4.5
21    평가함 ★ 4.0
22    평가함 ★ 4.0
23    평가함 ★ 4.0
24    평가함 ★ 3.0
25    평가함 ★ 4.0
26    평가함 ★ 4.0
27    평가함 ★ 4.5
28    평가함 ★ 3.5
29    평가함 ★ 4.0
30    평가함 ★ 4.0
31    평가함 ★ 3.5
32    평가함 ★ 4.0
33    평가함 ★ 3.0
34    평가함 ★ 4.5
35    평가함 ★ 4.5
Name: LABEL-3, dtype: object",books
4,영화고독발버둥치며본다:contents:books:ratings..xlsx,영화고독발버둥치며본다,"0                  소립자
1                 모비 딕
2             열두 띠 이야기
3                현대시작법
4          철학카페에서 시 읽기
5               이별의 능력
6             오늘 아침 단어
7        어서오세요, 305호에!
8     조국 현상을 말한다 - 개정판
9              몰아 쓴 일기
10            불가능한 대화들
11         황현산의 사소한 부탁
12         서울 1964년 겨울
13              상처적 체질
14       개를 데리고 다니는 부인
15              눈사람 여관
16            선천적 얼간이들
17                   성
Name: LABEL-2, dtype: object","0     평가함 ★ 4.5
1     평가함 ★ 3.5
2     평가함 ★ 3.0
3     평가함 ★ 4.0
4     평가함 ★ 3.5
5     평가함 ★ 3.5
6     평가함 ★ 3.0
7     평가함 ★ 3.5
8     평가함 ★ 2.5
9     평가함 ★ 3.0
10    평가함 ★ 3.0
11    평가함 ★ 3.5
12    평가함 ★ 3.0
13    평가함 ★ 3.0
14    평가함 ★ 3.0
15    평가함 ★ 3.0
16    평가함 ★ 3.0
17    평가함 ★ 3.5
Name: LABEL-3, dtype: object",books
5,4WLxZmblW5roA:contents:books:ratings.xlsx,4WLxZmblW5roA,한 게으른 시인의 이야기,평가함 ★ 4.0,books
6,4WLxZmblW5roA:contents:books:ratings.xlsx,4WLxZmblW5roA,야간 경비원의 일기,평가함 ★ 4.0,books
7,4WLxZmblW5roA:contents:books:ratings.xlsx,4WLxZmblW5roA,노멀 피플,평가함 ★ 3.5,books
8,4WLxZmblW5roA:contents:books:ratings.xlsx,4WLxZmblW5roA,살림 비용,평가함 ★ 4.5,books
9,4WLxZmblW5roA:contents:books:ratings.xlsx,4WLxZmblW5roA,잘돼가? 무엇이든,평가함 ★ 3.5,books
10,4WLxZmblW5roA:contents:books:ratings.xlsx,4WLxZmblW5roA,안녕 주정뱅이,평가함 ★ 4.5,books
11,4WLxZmblW5roA:contents:books:ratings.xlsx,4WLxZmblW5roA,어린이라는 세계,평가함 ★ 4.5,books
12,4WLxZmblW5roA:contents:books:ratings.xlsx,4WLxZmblW5roA,최선의 삶,평가함 ★ 4.0,books
13,4WLxZmblW5roA:contents:books:ratings.xlsx,4WLxZmblW5roA,"땡스 갓, 잇츠 프라이데이",평가함 ★ 3.0,books
14,4WLxZmblW5roA:contents:books:ratings.xlsx,4WLxZmblW5roA,레몬,평가함 ★ 3.5,books
15,4WLxZmblW5roA:contents:books:ratings.xlsx,4WLxZmblW5roA,"아무튼, 예능",평가함 ★ 4.0,books
16,4WLxZmblW5roA:contents:books:ratings.xlsx,4WLxZmblW5roA,지극히 문학적인 취향,평가함 ★ 5.0,books
17,4WLxZmblW5roA:contents:books:ratings.xlsx,4WLxZmblW5roA,맥스 테그마크의 라이프 3.0,평가함 ★ 4.0,books
18,4WLxZmblW5roA:contents:books:ratings.xlsx,4WLxZmblW5roA,채식주의자,평가함 ★ 4.5,books
19,4WLxZmblW5roA:contents:books:ratings.xlsx,4WLxZmblW5roA,이기적 유전자,평가함 ★ 4.5,books
